z,n,symbol,radius,unc_r,half_life,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
0,1,n,-0.1149,0.0027,613.9,6,s,613.9,0.6,B-,100,,,,,,,,0,0,1008664.916,0.00047,8071.31806,0.00044,N,,31-Oct-05,BALRAJ SINGH,10/18/2023
0,4,n,,,2.6,,MeV,1.75E-22,0,,,,,,,,,,,,,,,,,,30-Aug-17,J.E. Purcell and  C.G. Sheu,10/18/2023
0,6,n,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-17,J.H. Kelley and  G.C. Sheu,10/18/2023
1,0,H,0.8783,0.0086,STABLE,,,,,,,,,,,,,,0,0,1007825.032,0.000014,7288.971064,0.000013,N,1920,31-Oct-05,BALRAJ SINGH,10/18/2023
1,1,H,2.1421,0.0088,STABLE,,,,,,,,,,,,,,1112.2831,0.0002,2014101.778,0.000015,13135.7229,0.000015,N,1932,1-May-03,J.H. KELLEY and  J.L. GODWIN,10/18/2023
1,2,H,1.7591,0.0363,12.32,2,Y,388781328,631138.5195,B-,100,,,,,,,,2827.2654,0.0003,3016049.281,0.00008,14949.8109,0.00008,N,1934,30-Jun-15,J.E. Purcell{+#} and  C.G. Sheu{+*},10/18/2023
1,3,H,,,,,,,,N,100,,,,,,,,1720.4491,25,4026431.867,107.354,24621.129,100,N,1981,8-Oct-91,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,10/18/2023
1,4,H,,,5.3,4,MeV,8.61E-23,6.50E-24,2N,100,,,,,,,,1336.3592,17.8885,5035311.492,96.02,32892.447,89.443,N,1987,28-Feb-19,J.E. Purcell and  C.G. Sheu,10/18/2023
1,5,H,,,1.55,44,MeV,2.94E-22,8.36E-23,,,,,,,,,,961.6395,42.3545,6044955.437,272.816,41875.725,254.127,N,1984,23-Mar-17,J.E. Purcell and  C.G. Sheu,10/18/2023
1,6,H,,,0.09,88,MeV,5.07E-21,2.82E-20,,,,,,,,,,940,143,7052749,1078,49135,1004,Y,2003,23-Mar-17,J.E. Purcell and  C.G. Sheu,10/18/2023
2,1,He,1.9661,0.003,STABLE,,,,,,,,,,,,,,2572.68044,0.00015,3016029.322,0.00006,14931.21888,0.00006,N,1934,30-Jun-15,J.E. Purcell{+#} and  C.G. Sheu{+*},10/18/2023
2,2,He,1.6755,0.0028,STABLE,,,,,,,,,,,,,,7073.9156,0.0002,4002603.254,0.00016,2424.91587,0.00015,N,1908,8-Oct-91,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,10/18/2023
2,3,He,,,0.648,,MeV,7.04E-22,0,N,,,,,,,,,5512.1325,4,5012057.224,21.47,11231.234,20,N,1937,23-Aug-01,X. HU and  D.R.TILLEY and  J.H.KELLEY,10/18/2023
2,4,He,2.066,0.0111,806.7,15,ms,0.8067,0.0015,B-,100,,,,,,,,4878.5199,0.0089,6018885.889,0.057,17592.095,0.053,N,1936,23-Aug-01,HU and  TILLEY and  KELLEY et al.,10/18/2023
2,5,He,,,150,20,keV,3.04E-21,4.06E-22,N,,,,,,,,,4123.0578,1.0799,7027990.652,8.115,26073.128,7.559,N,1967,23-Aug-01,HU and  TILLEY and  KELLEY and  GODWIN et al.,10/18/2023
2,6,He,1.9239,0.0306,119.1,12,ms,0.1191,0.0012,B-,100,,B-N,16,1,,,,3924.521,0.0111,8033934.388,0.095,31609.683,0.089,N,1965,31-Mar-04,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,10/18/2023
2,7,He,,,,,,,,N,100,,,,,,,,3349.038,5.2018,9043946.414,50.259,40935.826,46.816,N,1987,31-Mar-04,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,10/18/2023
2,8,He,,,300,200,keV,1.52E-21,1.01E-21,N,100,,,,,,,,2995.134,9.2848,10052815.31,99.676,49197.147,92.848,N,1994,31-Mar-04,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,10/18/2023
3,1,Li,,,,,,,,P,100,,,,,,,,1153.7603,53.033,4027185.561,227.733,25323.19,212.132,N,1965,8-Oct-91,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,10/18/2023
3,2,Li,,,1.23,,MeV,3.71E-22,0,P,,,,,,,,,5266.1325,10,5012537.8,53.677,11678.887,50,N,1941,23-Aug-01,X. HU and  D.R.TILLEY and  J.H.KELLEY,10/18/2023
3,3,Li,2.589,0.039,STABLE,,,,,,,,,,,,,,5332.3312,0.0003,6015122.887,0.00155,14086.88044,0.00144,N,1921,23-Aug-01,HU and  TILLEY and  KELLEY et al.,10/18/2023
3,4,Li,2.444,0.042,STABLE,,,,,,,,,,,,,,5606.4401,0.0006,7016003.434,0.0045,14907.10463,0.00419,N,1921,23-Aug-01,HU and  TILLEY and  KELLEY and  GODWIN et al.,10/18/2023
3,5,Li,2.339,0.044,839.9,9,ms,0.8399,0.0009,B-A,100,,B-,100,,,,,5159.7124,0.0059,8022486.244,0.05,20945.805,0.047,N,1935,31-Mar-04,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,10/18/2023
3,6,Li,2.245,0.046,178.3,4,ms,0.1783,0.0004,B-,100,,B-N,50.8,0.2,,,,5037.7685,0.0207,9026790.191,0.2,24954.905,0.186,N,1951,31-Mar-04,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,10/18/2023
3,7,Li,,,,,,,,N,100,,,,,,,,4531.3512,1.2721,10035483.45,13.656,33052.628,12.721,N,1975,31-Mar-04,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,10/18/2023
3,8,Li,2.482,0.043,8.75,14,ms,0.00875,0.00014,B-,100,,B-N,,,,,,4155.3817,0.0559,11043723.58,0.66,40728.259,0.615,N,1966,1-Jan-11,J.H. KELLEY and  C.G. SHEU,10/18/2023
3,9,Li,,,,,,,,N,100,,,,,,,,3791.5999,2.5005,12052613.94,32.213,49009.577,30.006,N,2008,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/2023
4,2,Be,,,92,6,keV,4.96E-21,3.23E-22,A,100,,2P,100,,,,,4487.2478,0.908,6019726.409,5.848,18375.034,5.448,N,1958,23-Aug-01,HU and  TILLEY and  KELLEY et al.,10/18/2023
4,3,Be,2.646,0.016,53.22,6,d,4598208,5184,EC,100,,,,,,,,5371.5487,0.0101,7016928.714,0.076,15768.998,0.071,N,1938,23-Aug-01,HU and  TILLEY and  KELLEY and  GODWIN et al.,10/18/2023
4,4,Be,,,5.57,25,eV,8.19E-17,3.68E-18,A,100,,,,,,,,7062.4356,0.0044,8005305.102,0.037,4941.672,0.035,N,1932,31-Mar-04,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,10/18/2023
4,5,Be,2.519,0.012,STABLE,,,,,,,,,,,,,,6462.6693,0.0085,9012183.062,0.082,11348.451,0.076,N,1921,31-Mar-04,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,10/18/2023
4,6,Be,2.355,0.017,1.51E+06,4,Y,4.7651E+13,1.26228E+12,B-,100,,,,,,,,6497.6306,0.0081,10013534.69,0.086,12607.487,0.081,N,1935,31-Mar-04,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,10/18/2023
4,7,Be,2.463,0.015,13.76,7,s,13.76,0.07,B-,100,,B-A,3.1,,B-P,0.00083,,5952.5402,0.0216,11021661.08,0.255,20177.169,0.238,N,1958,1-Jan-11,J.H. KELLEY and  C.G. SHEU,10/18/2023
4,8,Be,,,21.46,5,ms,0.02146,0.00005,B-,100,,B-N,0.5,0.03,,,,5720.7223,0.159,12026922.08,2.048,25077.761,1.909,N,1966,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/2023
4,9,Be,,,2.70E-21,18,s,2.70E-21,1.80E-21,N,,,,,,,,,5241.4359,0.7831,13036134.51,10.929,33659.08,10.18,N,1983,23-Apr-86,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,10/18/2023
4,10,Be,,,4.35,17,ms,0.00435,0.00017,B-,100,,B-N,81,4,B-2N,5,2,4993.8973,9.4461,14042892.92,141.97,39954.502,132.245,N,1973,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
4,11,Be,,,0.58,20,MeV,7.87E-22,2.71E-22,N,100,,,,,,,,4540.9708,11.0532,15053490.22,177.99,49825.821,165.797,N,2013,31-Mar-15,J. Kelley,10/18/2023
4,12,Be,,,0.8,2,MeV,5.70E-22,1.43E-22,N,100,,,,,,,,4285.2851,10.3623,16061672.04,177.99,57447.139,165.797,N,2012,29-Sep-14,J. Kelley,10/18/2023
5,2,B,,,801,20,keV,5.70E-22,1.42E-23,P,100,,,,,,,,3558.7055,3.5929,7029712,27,27676.553,25.15,N,1967,1-Jun-14,J. Kelley and  C.G. Sheu,10/18/2023
5,3,B,,,770,3,ms,0.77,0.003,EC+B+,100,,B+A,100,,,,,4717.1551,0.125,8024607.315,1.073,22921.569,1,N,1950,31-Mar-04,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,10/18/2023
5,4,B,,,0.54,21,keV,8.45E-19,3.29E-19,P,100,,,,,,,,6257.0713,0.1003,9013329.645,0.969,12416.486,0.903,N,1940,31-Mar-04,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,10/18/2023
5,5,B,2.4277,0.0499,STABLE,,,,,,,,,,,,,,6475.0835,0.0015,10012936.86,0.016,12050.611,0.015,N,1920,31-Mar-04,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,10/18/2023
5,6,B,2.406,0.0294,STABLE,,,,,,,,,,,,,,6927.7323,0.0011,11009305.17,0.013,8667.708,0.012,N,1920,1-Jan-11,J.H. KELLEY and  C.G. SHEU,10/18/2023
5,7,B,,,20.2,2,ms,0.0202,0.00002,B-,100,,B-A,0.6,0.02,,,,6631.2237,0.1101,12014352.64,1.418,13369.398,1.321,N,1935,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/2023
5,8,B,,,17.33,17,ms,0.01733,0.00017,B-,100,,B-N,0.286,,,,,6496.4194,0.0769,13017779.98,1.073,16561.948,1,N,1956,23-Apr-86,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,10/18/2023
5,9,B,,,12.5,5,ms,0.0125,0.0005,B-,100,,B-N,6.1,,,,,6101.6451,1.5152,14025404.01,22.773,23663.686,21.213,N,1966,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
5,10,B,,,9.93,7,ms,0.00993,0.00007,B-,100,,B-N,99.68,,,,,5880.0438,1.4019,15031087.02,22.575,28957.379,21.029,N,1966,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
5,11,B,,,100,,keV,4.56E-21,0,N,100,,,,,,,,5507.3535,1.5354,16039841.05,26.373,37111.699,24.566,N,2000,16-Jan-16,J.H. Kelley and  G.C. Sheu,10/18/2023
5,12,B,,,5.08,5,ms,0.00508,0.00005,B-,100,,B-N,63,1,B-2N,11,7,5269.6677,12.0061,17046931.4,219.114,43716.322,204.104,N,1973,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
5,13,B,,,,,,,,N,100,,,,,,,,4976.6306,11.3425,18055601.68,219.18,51792.64,204.165,N,2010,16-Jan-16,J.H. Kelley and  C.G. Sheu,10/18/2023
5,14,B,,,2.92,13,ms,0.00292,0.00013,B-,100,,B-N,71.8,,B-2N,16,,4719.6346,27.6507,19064166,564,59770.251,525.363,N,1984,25-Oct-18,G.C. Sheu and  J.H. Kelley,10/18/2023
5,15,B,,,500,,keV,9.12E-22,0,N,100,,,,,,,,4405.6529,27.3178,20074505.64,586.538,69401.569,546.357,N,2018,1-Jan-19,J.H. Kelley and  G.C. Sheu,10/18/2023
5,16,B,,,600,,keV,7.60E-22,0,2N,100,,,,,,,,4152.5265,26.6031,21084147.49,599.75,78382.887,558.664,N,2018,1-Jan-19,J.H. Kelley and  G.C. Sheu,10/18/2023
6,2,C,,,130,50,keV,3.51E-21,1.35E-21,2P,100,,,,,,,,3101.5242,2.2804,8037643.039,19.584,35064.269,18.243,N,1974,13-Aug-18,J.E. Purcell and  C.G. Sheu,10/18/2023
6,3,C,,,126.5,10,ms,0.1265,0.001,EC+B+,100,,B+P,62,1.9,B+A,37.9,5.8,4337.4233,0.2374,9031037.202,2.293,28910.971,2.137,N,1964,31-Jul-20,J.H. KELLEY and  B. Grees,10/18/2023
6,4,C,,,19.29,12,s,19.29,0.012,EC+B+,100,,,,,,,,6032.0426,0.007,10016853.22,0.075,15698.673,0.07,N,1949,31-Mar-04,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,10/18/2023
6,5,C,,,20.364,14,m,1221.84,0.84,EC+B+,100,,,,,,,,6676.4563,0.0054,11011432.6,0.064,10649.397,0.06,N,1934,1-Jan-11,J.H. KELLEY and  C.G. SHEU,10/18/2023
6,6,C,2.4702,0.0022,STABLE,,,,,,,,,,,,,,7680.1446,0.0002,12000000,0,0,0,N,1919,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/2023
6,7,C,2.4614,0.0034,STABLE,,,,,,,,,,,,,,7469.8495,0.0002,13003354.84,0.00025,3125.00933,0.00023,N,1929,1-Jul-90,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,10/18/2023
6,8,C,2.5025,0.0087,5700,30,Y,1.79874E+11,946707779.2,B-,100,,,,,,,,7520.3198,0.0004,14003241.99,0.00403,3019.89328,0.00375,N,1936,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
6,9,C,,,2.449,5,s,2.449,0.005,B-,100,,,,,,,,7100.1696,0.0533,15010599.26,0.858,9873.145,0.8,N,1950,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
6,10,C,,,0.747,8,s,0.747,0.008,B-,100,,B-N,99,0.3,,,,6922.0546,0.2236,16014701.26,3.84,13694.133,3.578,N,1961,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
6,11,C,,,193,6,ms,0.193,0.006,B-,100,,B-N,26,1.8,,,,6558.0262,1.0215,17022578.65,18.641,21031.88,17.365,N,1968,1-May-17,J.H. Kelley and  G.C. Sheu,10/18/2023
6,12,C,,,92,2,ms,0.092,0.002,B-,100,,B-N,31.5,1.5,,,,6426.1321,1.6667,18026751.93,32.206,24919.266,30,N,1969,1-May-17,J. Kelley and  C.G. Sheu,10/18/2023
6,13,C,,,46.3,40,ms,0.0463,0.004,B-,100,,B-N,47,3,B-2N,7,3,6118.274,5.1784,19034797.59,105.625,32413.754,98.389,N,1974,23-Mar-17,J.H. Kelley and  G.C. Sheu,10/18/2023
6,14,C,,,16.3,5,ms,0.0163,0.00375,B-,100,,B-N,65,18,B-2N,18.6,,5961.4356,11.5312,20040261.73,247.585,37503.567,230.625,N,1981,9-Jun-17,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,10/18/2023
6,16,C,,,6.1,2,ms,0.0061,0.0013,B-,100,,B-N,61,,B-2N,37,,5421.0778,10.5223,22057553.99,248.515,53611.203,231.49,N,1986,1-Apr-15,M. Shamsuzzoha Basunia,10/18/2023
7,3,N,,,2.5,5,MeV,1.82E-22,1.28E-22,P,100,,,,,,,,3643.6724,40,10041653.54,429.417,38800.027,400,N,2002,20-Jul-17,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,10/18/2023
7,4,N,,,830,30,keV,5.50E-22,1.99E-23,P,100,,,,,,,,5358.4023,0.4546,11026157.59,5.368,24365.644,5,N,1974,1-Jan-11,J.H. KELLEY and  C.G. SHEU,10/18/2023
7,5,N,,,11,16,ms,0.011,0.000016,EC+B+,100,,B+A,1.93,0.04,,,,6170.11,0.0833,12018613.18,1.073,17338.068,1,N,1949,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/2023
7,6,N,,,9.965,4,m,597.9,0.24,EC+B+,100,,,,,,,,7238.8634,0.0207,13005738.61,0.289,5345.481,0.27,N,1934,23-Apr-86,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,10/18/2023
7,7,N,2.5582,0.007,STABLE,,,,,,,,,,,,,,7475.6148,0.0002,14003074,0.00024,2863.41683,0.00022,N,1920,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
7,8,N,2.6058,0.008,STABLE,,,,,,,,,,,,,,7699.4603,0.0002,15000108.9,0.00062,101.43809,0.00058,N,1929,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
7,9,N,,,7.13,2,s,7.13,0.02,B-,100,,B-A,0.0012,0.0005,,,,7373.7971,0.1438,16006101.93,2.47,5683.907,2.301,N,1933,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
7,10,N,,,4.173,4,s,4.173,0.004,B-,100,,B-N,95.1,0.7,B-A,0.0025,,7286.2294,0.8824,17008448.88,16.103,7870.079,15,N,1949,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
7,11,N,,,619,2,ms,0.619,0.002,B-,100,,B-A,12.2,0.6,B-N,12,1.3,7038.5627,1.0316,18014077.56,19.935,13113.167,18.57,N,1964,30-Jun-21,R. Spitzer and  J.H. Kelley,10/18/2023
7,12,N,,,336,3,ms,0.336,0.003,B-,100,,B-N,41.8,0.9,,,,6948.5452,0.8634,19017022.39,17.61,15856.255,16.404,N,1968,6-Nov-18,G.C. Sheu and  J.H. Kelley,10/18/2023
7,13,N,,,134.4,37,ms,0.1344,0.0037,B-,100,,B-N,42.9,1.4,,,,6709.1717,3.9447,20023367.3,84.696,21766.498,78.894,N,1969,31-Dec-18,C.G. Sheu and  J.H. Kelley,10/18/2023
7,14,N,,,84,7,ms,0.084,0.007,B-,100,,B-N,86,4,,,,6609.0159,6.3832,21027087.57,143.906,25231.915,134.048,N,1970,15-Jan-15,R.B. FIRESTONE,10/18/2023
7,15,N,,,23,3,ms,0.023,0.003,B-,100,,B-N,34,3,B-2N,12,3,6378.5347,9.4445,22034100.92,223.06,31764.805,207.779,N,1979,1-Apr-15,M. Shamsuzzoha Basunia,10/18/2023
7,16,N,,,14.1,-1,ms,0.0141,0.00125,B-,100,,B-N,42,6,B-2N,8,4,6236.6721,18.2856,23039421,451.5,36720.429,420.57,N,1985,1-Jun-20,M.S. Basunia{+#} and  A. Chakraborty{+##},10/18/2023
7,17,N,,,52,,ns,0.000000052,,N,,,,,,,,,5887,17,24050390,430,46938,401,Y,,31-Mar-22,M. Shamsuzzoha Basunia and  Anagha Chakraborty,10/18/2023
8,3,O,,,1.3,,MeV,3.51E-22,0,2P,100,,,,,,,,3162.4372,5.458,11051249.83,64.453,47738.913,60.038,N,2019,29-Apr-19,C.G. Sheu and  J.H. Kelley,10/18/2023
8,4,O,,,72,,keV,6.34E-21,0,2P,100,,,,,,,,4881.9755,1,12034367.73,12.882,32013.335,12,N,1978,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/2023
8,5,O,,,8.58,5,ms,0.00858,0.00005,B+P,100,,EC+B+,100,,,,,5811.7636,0.7328,13024815.44,10.226,23115.432,9.526,N,1963,23-Apr-86,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,10/18/2023
8,6,O,,,70.606,18,s,70.606,0.018,EC+B+,100,,,,,,,,7052.2783,0.0018,14008596.71,0.027,8007.781,0.025,N,1949,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
8,7,O,,,122.24,16,s,122.24,0.16,EC+B+,100,,,,,,,,7463.6915,0.0327,15003065.64,0.526,2855.622,0.49,N,1934,1-Jul-90,F. AJZENBERG-SELOVE,10/18/2023
8,8,O,2.6991,0.0052,STABLE,,,,,,,,,,,,,,7976.2072,0.0002,15994914.62,0.00032,-4737.00217,0.0003,N,1919,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
8,9,O,2.6932,0.0075,STABLE,,,,,,,,,,,,,,7750.7291,0.0002,16999131.76,0.00069,-808.76421,0.00064,N,1925,5-Aug-21,C.G. Sheu and J.H. Kelley and J. Purcell,10/18/2023
8,10,O,2.7726,0.0056,STABLE,,,,,,,,,,,,,,7767.0981,0.0002,17999159.61,0.00069,-782.81634,0.00064,N,1929,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/2023
8,11,O,,,26.88,5,s,26.88,0.05,B-,100,,,,,,,,7566.4952,0.1388,19003577.97,2.83,3332.858,2.637,N,1936,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/2023
8,12,O,,,13.51,5,s,13.51,0.05,B-,100,,,,,,,,7568.5707,0.0442,20004075.36,0.95,3796.172,0.885,N,1959,21-Apr-97,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,10/18/2023
8,13,O,,,3.42,10,s,3.42,0.1,B-,100,,,,,,,,7389.3747,0.5714,21008654.95,12.882,8062.034,12,N,1968,15-Jan-15,R.B. FIRESTONE,10/18/2023
8,14,O,,,2.25,9,s,2.25,0.09,B-,100,,B-N,22,,,,,7364.8722,2.5873,22009965.74,61.107,9283.032,56.921,N,1969,1-Apr-15,M. Shamsuzzoha Basunia,10/18/2023
8,15,O,,,97,8,ms,0.097,0.008,B-,100,,B-N,7,2,,,,7163.4856,5.2918,23015696.69,130.663,14621.371,121.712,N,1970,1-Jun-20,M.S. Basunia{+#} and  A. Chakraborty{+##},10/18/2023
8,16,O,,,72,5,ms,0.072,0.005,B-,100,,B-N,42,5,,,,7039.6855,6.8698,24019861,177,18500.404,164.874,N,1970,31-Mar-22,M. Shamsuzzoha Basunia and  Anagha Chakraborty,10/18/2023
8,17,O,,,,,,,,N,100,,,,,,,,6727.8058,6.6034,25029338.92,177.225,27329.03,165.084,N,2008,1-Feb-08,R.B. FIRESTONE,10/18/2023
8,18,O,,,4.5,-2,ps,4.5E-12,3.3E-12,2N,100,,,,,,,,6497.479,6.3442,26037210.16,177.081,34661.041,164.95,N,2012,1-Feb-16,M.S. Basunia and A.M. Hurst,10/18/2023
9,4,F,,,1.01,27,MeV,4.52E-22,1.21E-22,,,,,,,,,,4297,38,13045121,537,42030,500,Y,,14-Mar-21,J. Kelley and  C.G. Sheu,10/18/2023
9,5,F,,,910,100,keV,5.01E-22,5.51E-23,,,,,,,,,,5285.2091,2.9371,14034315.2,44.142,31964.403,41.119,N,2010,1-Mar-14,J. Kelley and  C.G. Sheu,10/18/2023
9,6,F,,,660,20,keV,6.91E-22,2.09E-23,P,100,,,,,,,,6497.4597,0.9333,15017785.14,15.029,16566.752,14,N,1978,17-Jul-16,J. Kelley and  T. Truong and  C.G. Sheu,10/18/2023
9,7,F,,,40,20,keV,1.14E-20,5.70E-21,P,100,,,,,,,,6964.049,0.3353,16011460.28,5.758,10675.182,5.364,N,1964,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
9,8,F,,,64.49,16,s,64.49,0.16,EC+B+,100,,,,,,,,7542.3284,0.0146,17002095.24,0.266,1951.701,0.248,N,1934,31-Dec-92,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,10/18/2023
9,9,F,,,109.77,5,m,6586.2,3,EC+B+,100,,,,,,,,7631.6383,0.0257,18000937.32,0.497,873.112,0.463,N,1937,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/2023
9,10,F,2.8976,0.0025,STABLE,,,,,,,,,,,,,,7779.0192,0.0002,18998403.16,0.00088,-1487.44512,0.00082,N,1920,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/2023
9,11,F,,,11.07,6,s,11.07,0.06,B-,100,,,,,,,,7720.1351,0.0015,19999981.25,0.031,-17.463,0.03,N,1935,21-Apr-97,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,10/18/2023
9,12,F,,,4.158,20,s,4.158,0.02,B-,100,,,,,,,,7738.2934,0.0857,20999948.89,1.932,-47.605,1.8,N,1955,15-Jan-15,R.B. FIRESTONE,10/18/2023
9,13,F,,,4.23,4,s,4.23,0.04,B-,100,,B-N,11,,,,,7624.2954,0.5636,22002998.81,13.31,2793.376,12.399,N,1965,1-Apr-15,M. Shamsuzzoha Basunia,10/18/2023
9,14,F,,,2.23,14,s,2.23,0.14,B-,100,,B-N,14,,,,,7622.3447,1.4487,23003526.88,35.77,3285.263,33.32,N,1970,1-Jun-20,M.S. Basunia{+#} and  A. Chakraborty{+##},10/18/2023
9,15,F,,,382,16,ms,0.382,0.016,B-,100,,B-N,5.9,,,,,7463.5831,4.0696,24008099.37,104.853,7544.516,97.67,N,1970,31-Mar-22,M. Shamsuzzoha Basunia and  Anagha Chakraborty,10/18/2023
9,16,F,,,80,9,ms,0.08,0.009,B-,100,,B-N,23.1,4.5,,,,7336.3065,3.8577,25012167.73,103.535,11334.167,96.442,N,1970,1-Feb-08,R.B. FIRESTONE,10/18/2023
9,17,F,,,8.2,9,ms,0.0082,0.0009,B-,100,,B-N,13.5,4,,,,7082.2497,4.1164,26020048.07,114.898,18674.655,107.027,N,1979,1-Feb-16,M.S. Basunia and A.M. Hurst,10/18/2023
9,18,F,,,5,2,ms,0.005,0.0002,B-,100,,B-N,77,21,,,,6879.6662,4.4518,27026981.9,129.037,25133.478,120.198,N,1981,30-Nov-10,M. Shamsuzzoha Basunia,10/18/2023
9,19,F,,,0.046,,as,4.60E-20,,N,100,,,,,,,,6626.8567,4.2981,28035860.45,129.198,33403.796,120.347,N,2012,1-Apr-13,M. Shamsuzzoha Basunia,10/18/2023
9,20,F,,,2.5,3,ms,0.0025,0.0003,B-,100,,B-N,100,80,,,,6444.0314,18.116,29043103,564,40150.19,525.363,N,1989,1-Jan-12,M. Shamsuzzoha Basunia,10/18/2023
9,21,F,,,,,,,,N,,,,,,,,,6205,17,30052561,537,48960,500,Y,,30-Jun-10,M. SHAMSUZZOHA BASUNIA,10/18/2023
9,22,F,,,,,,,,B-,100,,B-2N,,,B-7N,,,6011,17,31061023,574,56843,535,Y,1999,24-Jun-22,Jun Chen and Balraj Singh,10/18/2023
10,5,Ne,,,0.59,,MeV,7.73E-22,0,2P,100,,,,,,,,4868.7285,4.4456,15043172.98,71.588,40215.374,66.684,N,2014,1-Mar-14,J. Kelley and  C.G. Sheu,10/18/2023
10,6,Ne,,,80,,keV,5.70E-21,0,2P,100,,,,,,,,6083.1777,1.28,16025750.86,21.986,23986.775,20.48,N,1977,27-Jan-20,G.C. Sheu and  J.H. Kelley,10/18/2023
10,7,Ne,3.0413,0.0088,109.2,6,ms,0.1092,0.0006,EC+B+,100,,ECP,95.2,4.6,ECA,2.77,0.19,6640.4991,0.0208,17017713.96,0.38,16500.452,0.354,N,1963,16-Jan-18,J.H. Kelley and  G.C. Sheu,10/18/2023
10,8,Ne,2.9714,0.0076,1672,8,ms,1.672,0.008,EC+B+,100,,,,,,,,7341.2577,0.0202,18005708.7,0.39,5317.617,0.363,N,1954,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/2023
